ablation_id,feature_set,input_dim,n_seeds,auc_mean,auc_sd,acc_mean,acc_sd,balanced_acc_mean,balanced_acc_sd,sen_mean,sen_sd,spec_mean,spec_sd,pre_mean,pre_sd,f1_mean,f1_sd,n_rows,n_masked_rows,n_cells,n_nan_cells,nan_frac
A0_base45,base45,45,10,0.9403236268939394,0.015636266743679968,0.849375,0.021939389361501253,0.8472964015151515,0.022996870491251025,0.8229261363636364,0.05150018756875186,0.8716666666666665,0.056610167609869866,0.8710588620597033,0.03324541963812233,0.8380418080136394,0.026630352533380183,16000,312,720000,14666,0.020369444444444443
A1_freq20,base45_freq20,63,10,0.9270385890151516,0.016688837745903167,0.820625,0.04564830074724698,0.8253993055555554,0.04332806806596711,0.8153124999999999,0.047588115207104445,0.8354861111111112,0.09109874224421198,0.846120621024439,0.060388827235549634,0.8165927061463464,0.03951302367634937,16000,312,1008000,20282,0.020121031746031744
A2_k,base45_k,46,10,0.9304504419191921,0.00983002482951156,0.820625,0.02684995603141447,0.821221590909091,0.024328612145562076,0.7655681818181818,0.046578165601381456,0.8768749999999998,0.029535531280555836,0.8666308455616489,0.030084422226020008,0.7933328200796732,0.04563786718922402,16000,312,736000,14978,0.02035054347826087
A3_freq20_k,base45_freq20_k,64,10,0.9187376893939394,0.015121178271463451,0.79875,0.024615092479569882,0.7939220328282828,0.028428346691929406,0.7798579545454546,0.03889947039933172,0.8079861111111111,0.06620471541573503,0.8151770619910723,0.03275637093302462,0.7836676973451406,0.024904083965162676,16000,312,1024000,20594,0.020111328125
A4_freq10,base45_freq10,81,10,0.9170595801767677,0.01061867742959893,0.81875,0.04135298591933169,0.8167739898989899,0.039714276584560726,0.7896590909090909,0.04667133210396,0.843888888888889,0.08122447367300567,0.8425627818136905,0.040722527090762746,0.806139375021848,0.03218550832938378,16000,312,1296000,25898,0.019983024691358025
