ablation_id,feature_set,input_dim,seed,status,best_epochs,epochs_trained,acc_mean,acc_sd,auc_mean,auc_sd,balanced_acc_mean,balanced_acc_sd,sen_mean,sen_sd,spec_mean,spec_sd,f1_mean,f1_sd,pre_mean,pre_sd
A0_base45,base45,45,1234,ok,"[11, 32, 29, 44]","[42, 63, 60, 75]",0.8999999999999999,0.06454972243679029,0.966545928030303,0.03770412684373469,0.9030934343434343,0.06250000000000001,0.8721590909090909,0.08771618315840464,0.9340277777777777,0.09845449221359603,0.8910299003322258,0.07814209622066781,0.9223057644110275,0.12566367054357572
A0_base45,base45,45,100,ok,"[6, 24, 54, 26]","[37, 55, 85, 57]",0.85625,0.08508574106942556,0.9616871843434344,0.028717628421384648,0.8497316919191918,0.09650959329709181,0.7883522727272727,0.20143761680527134,0.9111111111111111,0.09525793444156803,0.8306631127415857,0.12885631711780945,0.900974025974026,0.08921627016492148
A0_base45,base45,45,0,ok,"[10, 35, 37, 55]","[41, 66, 68, 86]",0.85625,0.0746519702798705,0.951545928030303,0.067261649270601,0.84927398989899,0.08330044595159813,0.8096590909090909,0.15114775532370284,0.888888888888889,0.0785674201318386,0.8365079365079364,0.11746031746031746,0.8742236024844721,0.11962234122497578
A0_base45,base45,45,2024,ok,"[25, 24, 51, 19]","[56, 55, 82, 50]",0.8375,0.10507933510765409,0.9481131628787879,0.050053135875781654,0.826278409090909,0.11370752045205956,0.8963068181818181,0.12083051317123146,0.75625,0.256202632880012,0.8524363233665558,0.07472763951262101,0.8284632034632036,0.11980442898219815
A0_base45,base45,45,42,ok,"[5, 4, 3, 9]","[36, 35, 34, 40]",0.8125,0.06614378277661477,0.9276862373737373,0.04842579721417944,0.8172506313131314,0.0643069280550744,0.7275568181818182,0.16757767975910015,0.9069444444444444,0.07900812585182161,0.785208624392685,0.09580708635516455,0.884536541889483,0.11523760874894608
A0_base45,base45,45,3,ok,"[33, 5, 9, 35]","[64, 36, 40, 66]",0.8500000000000001,0.028867513459481315,0.9385432449494949,0.045677775997973374,0.8491635101010101,0.028302426724515696,0.8497159090909092,0.06690969176895882,0.8486111111111111,0.10974859036188006,0.8496030511692965,0.019218405603834934,0.8577944862155388,0.07673849868822186
A0_base45,base45,45,123,ok,"[17, 18, 47, 8]","[48, 49, 78, 39]",0.84375,0.0590726953281576,0.9310724431818181,0.04634779268674016,0.8485164141414142,0.05716136305197714,0.8289772727272727,0.04412350404053861,0.8680555555555556,0.12292516710510881,0.8412196287196287,0.05963747083447556,0.8656565656565657,0.13410398650301342
A0_base45,base45,45,13,ok,"[10, 15, 50, 36]","[41, 46, 81, 67]",0.8375,0.06614378277661477,0.927734375,0.05259655152036178,0.8325757575757575,0.06717013491465747,0.8693181818181819,0.12636990392130515,0.7958333333333333,0.05797952668316026,0.8364825581395349,0.08133909323970331,0.8091953336518554,0.04882273163292755
A0_base45,base45,45,64,ok,"[25, 5, 8, 27]","[56, 36, 39, 58]",0.85,0.07071067811865477,0.9262981376262627,0.056139722645158256,0.842739898989899,0.09192875939959058,0.771590909090909,0.19499152344365134,0.913888888888889,0.04456003487228135,0.8187271062271062,0.13799774827245784,0.889520202020202,0.07155025746231936
A0_base45,base45,45,2026,ok,"[7, 4, 5, 2]","[38, 35, 36, 33]",0.85,0.061237243569579464,0.9240096275252525,0.05588117637225051,0.8543402777777778,0.05665744602052085,0.8156249999999999,0.13229529316519129,0.8930555555555555,0.05972760526988938,0.8385398385398386,0.07751502785365605,0.8779188948306595,0.08423701207227971
A1_freq20,base45_freq20,63,1234,ok,"[19, 4, 2, 20]","[50, 35, 33, 51]",0.8,0.1172603939955857,0.938147095959596,0.043860299005943376,0.8148674242424242,0.09988506338832474,0.9318181818181819,0.10820346103852804,0.6979166666666666,0.25417678587425374,0.8237312145848732,0.10064704476940307,0.7669182753121048,0.18964919035181926
A1_freq20,base45_freq20,63,100,ok,"[6, 24, 2, 24]","[37, 55, 33, 55]",0.8374999999999999,0.06614378277661477,0.9253369633838384,0.05160653178825407,0.8419665404040404,0.06288384525842954,0.8144886363636363,0.07056061785451584,0.8694444444444444,0.08468046937165684,0.8307692307692307,0.07722598653834102,0.8551169590643275,0.11672527804138856
A1_freq20,base45_freq20,63,0,ok,"[43, 66, 47, 15]","[74, 97, 78, 46]",0.85625,0.06574889099191455,0.9315017361111111,0.05208182200994435,0.856423611111111,0.07032118680916437,0.7718750000000001,0.09224107066312646,0.9409722222222223,0.051188297193277735,0.8378036437246963,0.08825381929020833,0.9178338001867414,0.09212284759217367
A1_freq20,base45_freq20,63,2024,ok,"[31, 14, 0, 32]","[62, 45, 31, 63]",0.71875,0.09437293044088436,0.8981904987373737,0.07832017263644155,0.7305713383838384,0.09834148968555761,0.7826704545454546,0.18662992569967624,0.6784722222222221,0.3556450625185553,0.7334117215564018,0.06514831829937683,0.7603003721424774,0.22071317898137263
A1_freq20,base45_freq20,63,42,ok,"[7, 27, 3, 10]","[38, 58, 34, 41]",0.8624999999999999,0.05951190357119041,0.9492084911616162,0.03787354528245505,0.8699652777777778,0.057244481362192415,0.809375,0.10464576462389202,0.9305555555555556,0.08333333333333333,0.8538156288156288,0.059241873235052915,0.9179566563467493,0.10204201608241997
A1_freq20,base45_freq20,63,3,ok,"[5, 3, 30, 9]","[36, 34, 61, 40]",0.78125,0.08003905296791063,0.9073398042929293,0.06790618609597486,0.7849431818181818,0.0745743296041238,0.8011363636363636,0.17345838093720167,0.76875,0.07465197027987051,0.7757815982644358,0.10489869561140185,0.7692365200588884,0.09955344714636137
A1_freq20,base45_freq20,63,123,ok,"[4, 21, 20, 12]","[35, 52, 51, 43]",0.85625,0.05543389456520864,0.9259043560606062,0.04224445812745971,0.8594065656565657,0.05305569978682221,0.8403409090909091,0.04621988260704875,0.8784722222222222,0.09027777777777778,0.8530409146688216,0.05770110301682343,0.8729010025062657,0.10985710672089485
