comparison,n_seeds,acc_mean,acc_sd,auc_mean,auc_sd,balanced_acc_mean,balanced_acc_sd,sen_mean,sen_sd,spec_mean,spec_sd,f1_mean,f1_sd,pre_mean,pre_sd
A1_freq20 - A0_base45,10,-0.02875000000000002,0.05402224336120979,-0.013285037878787853,0.02422069863834549,-0.021897095959595946,0.05010696061460444,-0.007613636363636345,0.062060813441074544,-0.036180555555555535,0.0880776846926015,-0.021449101867292975,0.055608044805377024,-0.024938241035264395,0.06830173248731512
A2_k - A0_base45,10,-0.028750000000000008,0.03729108472544075,-0.009873184974747474,0.016517035799736755,-0.026074810606060584,0.03588364257115033,-0.05735795454545452,0.052005529007486194,0.005208333333333359,0.059212447149752864,-0.044708987933966146,0.05060872487986724,-0.00442801649805451,0.04452821191796701
A3_freq20_k - A1_freq20,10,-0.021874999999999988,0.05482373902891984,-0.0083008996212121,0.025218403575699183,-0.031477272727272756,0.05238157793371205,-0.03545454545454546,0.051449448408179915,-0.027500000000000024,0.0840320501923737,-0.03292500880120571,0.050082811727487804,-0.030943559033366718,0.057574974961281604
A3_freq20_k - A2_k,10,-0.021875,0.02798964342196755,-0.011712752525252479,0.022773740018150825,-0.02729955808080812,0.026281453362641986,0.01428977272727271,0.05948101278416213,-0.06888888888888892,0.07094958386017083,-0.009665122734532539,0.03243642784794953,-0.0514537835705766,0.044719719383272946
A3_freq20_k - A0_base45,10,-0.05062500000000001,0.03924747868759638,-0.02158593749999995,0.019963276935615667,-0.0533743686868687,0.045132986068526226,-0.043068181818181804,0.052690537643078,-0.06368055555555556,0.10557537683455634,-0.05437411066849869,0.03584675862491666,-0.05588180006863112,0.06108055580137256
A4_freq10 - A1_freq20,10,-0.0018749999999999821,0.065354933716676,-0.00997900883838384,0.01639259669863793,-0.008625315656565647,0.06534697086021977,-0.02565340909090912,0.07163924960257675,0.00840277777777777,0.08120312961704247,-0.010453331124498422,0.06350031469882611,-0.003557839210748559,0.055565499460509205
