id,status,started,finished,duration_s,exit
svm_linear-s42,completed,2026-09-23T01:56:06,2026-09-23T01:56:09,3.4,0
svm_linear-s64,completed,2026-09-23T01:57:37,2026-09-23T01:57:42,4.6,0
svm_linear-s2026,completed,2026-09-23T01:57:37,2026-09-23T01:57:42,4.9,0
svm_linear-s13,completed,2026-09-23T01:57:37,2026-09-23T01:57:42,4.7,0
rf-s42,completed,2026-09-23T01:57:42,2026-09-23T01:57:50,8.2,0
rf-s0,completed,2026-09-23T01:57:37,2026-09-23T01:57:46,8.5,0
rf-s2024,completed,2026-09-23T01:57:42,2026-09-23T01:57:50,8.6,0
rf-s100,completed,2026-09-23T01:57:37,2026-09-23T01:57:46,8.7,0
rf-s1234,completed,2026-09-23T01:57:37,2026-09-23T01:57:46,8.4,0
rf-s3,completed,2026-09-23T01:57:42,2026-09-23T01:57:51,8.6,0
qda-s0,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.6,0
qda-s1234,completed,2026-09-23T01:57:46,2026-09-23T01:57:51,4.7,0
rf-s13,completed,2026-09-23T01:57:42,2026-09-23T01:57:51,8.6,0
qda-s100,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.6,0
rf-s123,completed,2026-09-23T01:57:42,2026-09-23T01:57:51,8.6,0
rf-s64,completed,2026-09-23T01:57:46,2026-09-23T01:57:53,7.5,0
rf-s2026,completed,2026-09-23T01:57:46,2026-09-23T01:57:53,7.3,0
qda-s123,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.8,0
gnb-s1234,completed,2026-09-23T01:57:58,2026-09-23T01:58:02,4.6,0
qda-s3,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.8,0
qda-s13,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.8,0
qda-s42,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.8,0
qda-s64,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.7,0
qda-s2026,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.9,0
qda-s2024,completed,2026-09-23T01:57:53,2026-09-23T01:57:58,4.8,0
gnb-s100,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.6,0
gnb-s0,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.9,0
gnb-s3,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.9,0
gnb-s64,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.6,0
gnb-s42,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.7,0
gnb-s13,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.7,0
gnb-s2024,completed,2026-09-23T01:57:58,2026-09-23T01:58:02,4.2,0
gnb-s123,completed,2026-09-23T01:57:58,2026-09-23T01:58:03,4.6,0
gnb-s2026,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.8,0
lr-s2024,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.8,0
lr-s1234,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.5,0
lr-s3,completed,2026-09-23T01:58:08,2026-09-23T01:58:12,4.7,0
lr-s100,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.8,0
lr-s42,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.7,0
lr-s123,completed,2026-09-23T01:58:08,2026-09-23T01:58:12,4.7,0
lr-s0,completed,2026-09-23T01:58:03,2026-09-23T01:58:08,4.7,0
lr-s64,completed,2026-09-23T01:58:08,2026-09-23T01:58:13,4.8,0
lr-s13,completed,2026-09-23T01:58:08,2026-09-23T01:58:12,4.7,0
