experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc,best_epoch,epochs_trained,stopping_reason,stage
EXP-PROP-001,proposal,64,Set_3,0.9318181818181819,0.85,0.7727272727272727,0.9444444444444444,0.85,0.8585858585858586,27.0,58.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_0,0.9696969696969697,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,7.0,38.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_1,0.8776041666666666,0.825,0.8125,0.8333333333333334,0.787878787878788,0.8229166666666667,4.0,35.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_2,0.9750000000000001,0.9,0.95,0.85,0.9047619047619048,0.8999999999999999,5.0,36.0,early_stopping,
EXP-PROP-001,proposal,2026,Set_3,0.8737373737373737,0.775,0.6363636363636364,0.9444444444444444,0.7567567567567568,0.7904040404040404,2.0,33.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_0,0.9949494949494949,0.875,1.0,0.7222222222222222,0.8979591836734693,0.8611111111111112,17.0,48.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_1,0.9088541666666666,0.75,0.625,0.8333333333333334,0.6666666666666666,0.7291666666666667,19.0,50.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_2,0.9750000000000001,0.925,0.85,1.0,0.9189189189189189,0.925,4.0,35.0,early_stopping,
EXP-PROP-002,proposal,1234,Set_3,0.9191919191919192,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485,20.0,51.0,early_stopping,
EXP-PROP-002,proposal,100,Set_0,0.9747474747474749,0.85,1.0,0.6666666666666666,0.88,0.8333333333333333,22.0,53.0,early_stopping,
EXP-PROP-002,proposal,100,Set_1,0.8932291666666666,0.825,0.9375,0.75,0.8108108108108109,0.84375,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,100,Set_2,0.97,0.925,1.0,0.85,0.9302325581395349,0.925,7.0,38.0,early_stopping,
EXP-PROP-002,proposal,100,Set_3,0.8863636363636365,0.775,0.8181818181818182,0.7222222222222222,0.8,0.7702020202020202,23.0,54.0,early_stopping,
EXP-PROP-002,proposal,0,Set_0,0.9797979797979799,0.85,0.7272727272727273,1.0,0.8421052631578948,0.8636363636363636,51.0,82.0,early_stopping,
EXP-PROP-002,proposal,0,Set_1,0.9036458333333334,0.775,0.625,0.875,0.6896551724137931,0.75,9.0,40.0,early_stopping,
EXP-PROP-002,proposal,0,Set_2,0.9724999999999999,0.925,0.85,1.0,0.9189189189189189,0.925,2.0,33.0,early_stopping,
EXP-PROP-002,proposal,0,Set_3,0.9191919191919192,0.8,0.7727272727272727,0.8333333333333334,0.8095238095238095,0.803030303030303,30.0,61.0,early_stopping,
EXP-PROP-002,proposal,2024,Set_0,0.9772727272727273,0.9,0.9545454545454546,0.8333333333333334,0.9130434782608695,0.893939393939394,13.0,44.0,early_stopping,
EXP-PROP-002,proposal,2024,Set_1,0.9036458333333334,0.85,0.6875,0.9583333333333334,0.7857142857142857,0.8229166666666667,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,2024,Set_2,0.9775,0.925,0.85,1.0,0.9189189189189189,0.925,3.0,34.0,early_stopping,
EXP-PROP-002,proposal,2024,Set_3,0.8964646464646465,0.775,0.6818181818181818,0.8888888888888888,0.7692307692307693,0.7853535353535352,14.0,45.0,early_stopping,
EXP-PROP-002,proposal,42,Set_0,0.9595959595959597,0.9,0.9090909090909091,0.8888888888888888,0.9090909090909091,0.898989898989899,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,42,Set_1,0.9401041666666666,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,55.0,86.0,early_stopping,
EXP-PROP-002,proposal,42,Set_2,0.9775,0.825,0.95,0.7,0.8444444444444444,0.825,3.0,34.0,early_stopping,
EXP-PROP-002,proposal,42,Set_3,0.9015151515151515,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8080808080808081,27.0,58.0,early_stopping,
EXP-PROP-002,proposal,3,Set_0,0.9621212121212122,0.825,1.0,0.6111111111111112,0.8627450980392156,0.8055555555555556,40.0,71.0,early_stopping,
EXP-PROP-002,proposal,3,Set_1,0.9088541666666667,0.775,0.625,0.875,0.6896551724137931,0.75,24.0,55.0,early_stopping,
EXP-PROP-002,proposal,3,Set_2,0.9725,0.8,0.95,0.65,0.8260869565217392,0.8,3.0,34.0,early_stopping,
EXP-PROP-002,proposal,3,Set_3,0.898989898989899,0.775,0.8181818181818182,0.7222222222222222,0.8,0.7702020202020202,16.0,47.0,early_stopping,
EXP-PROP-002,proposal,123,Set_0,0.9898989898989898,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,17.0,48.0,early_stopping,
EXP-PROP-002,proposal,123,Set_1,0.8984375,0.85,0.75,0.9166666666666666,0.7999999999999999,0.8333333333333333,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,123,Set_2,0.97,0.875,0.95,0.8,0.8837209302325583,0.875,3.0,34.0,early_stopping,
EXP-PROP-002,proposal,123,Set_3,0.8762626262626263,0.8,0.8636363636363636,0.7222222222222222,0.8260869565217391,0.7929292929292929,0.0,31.0,early_stopping,
EXP-PROP-002,proposal,13,Set_0,0.9722222222222223,0.85,0.7272727272727273,1.0,0.8421052631578948,0.8636363636363636,27.0,58.0,early_stopping,
EXP-PROP-002,proposal,13,Set_1,0.890625,0.75,0.4375,0.9583333333333334,0.5833333333333334,0.6979166666666667,54.0,85.0,early_stopping,
EXP-PROP-002,proposal,13,Set_2,0.9775,0.9,0.85,0.95,0.8947368421052632,0.8999999999999999,5.0,36.0,early_stopping,
EXP-PROP-002,proposal,13,Set_3,0.8863636363636364,0.8,0.6818181818181818,0.9444444444444444,0.7894736842105263,0.8131313131313131,9.0,40.0,early_stopping,
EXP-PROP-002,proposal,64,Set_0,0.9797979797979799,0.9,0.8636363636363636,0.9444444444444444,0.9047619047619048,0.904040404040404,16.0,47.0,early_stopping,
EXP-PROP-002,proposal,64,Set_1,0.9036458333333334,0.775,0.625,0.875,0.6896551724137931,0.75,8.0,39.0,early_stopping,
EXP-PROP-002,proposal,64,Set_2,0.9724999999999999,0.825,0.95,0.7,0.8444444444444444,0.825,3.0,34.0,early_stopping,
EXP-PROP-002,proposal,64,Set_3,0.9116161616161617,0.775,0.6363636363636364,0.9444444444444444,0.7567567567567568,0.7904040404040404,23.0,54.0,early_stopping,
EXP-PROP-002,proposal,2026,Set_0,0.9797979797979798,0.9,0.9545454545454546,0.8333333333333334,0.9130434782608695,0.893939393939394,53.0,84.0,early_stopping,
EXP-PROP-002,proposal,2026,Set_1,0.8828125,0.775,0.9375,0.6666666666666666,0.7692307692307693,0.8020833333333333,19.0,50.0,early_stopping,
EXP-PROP-002,proposal,2026,Set_2,0.9800000000000001,0.925,0.9,0.95,0.9230769230769231,0.925,2.0,33.0,early_stopping,
EXP-PROP-002,proposal,2026,Set_3,0.8863636363636364,0.825,0.6818181818181818,1.0,0.8108108108108109,0.8409090909090908,35.0,66.0,early_stopping,
EXP-PROP-003,proposal,1234,Set_0,0.9772727272727272,0.925,0.9545454545454546,0.8888888888888888,0.9333333333333332,0.9217171717171717,8.0,39.0,early_stopping,
EXP-PROP-003,proposal,1234,Set_1,0.921875,0.875,0.875,0.875,0.8484848484848485,0.875,11.0,42.0,early_stopping,
EXP-PROP-003,proposal,1234,Set_2,0.9750000000000001,0.95,0.95,0.95,0.9500000000000001,0.95,4.0,35.0,early_stopping,
EXP-PROP-003,proposal,1234,Set_3,0.9090909090909091,0.75,0.5454545454545454,1.0,0.7058823529411764,0.7727272727272727,20.0,51.0,early_stopping,
EXP-PROP-003,proposal,100,Set_0,0.9545454545454546,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485,14.0,45.0,early_stopping,
EXP-PROP-003,proposal,100,Set_1,0.875,0.75,0.4375,0.9583333333333334,0.5833333333333334,0.6979166666666667,6.0,37.0,early_stopping,
EXP-PROP-003,proposal,100,Set_2,0.9650000000000001,0.875,0.9,0.85,0.8780487804878048,0.875,10.0,41.0,early_stopping,
EXP-PROP-003,proposal,100,Set_3,0.893939393939394,0.75,0.6363636363636364,0.8888888888888888,0.7368421052631579,0.7626262626262625,29.0,60.0,early_stopping,
EXP-PROP-003,proposal,0,Set_0,0.9747474747474749,0.85,0.7727272727272727,0.9444444444444444,0.85,0.8585858585858586,15.0,46.0,early_stopping,
EXP-PROP-003,proposal,0,Set_1,0.8411458333333335,0.725,1.0,0.5416666666666666,0.7441860465116279,0.7708333333333333,10.0,41.0,early_stopping,
EXP-PROP-003,proposal,0,Set_2,0.98,0.925,0.85,1.0,0.9189189189189189,0.925,2.0,33.0,early_stopping,
EXP-PROP-003,proposal,0,Set_3,0.8939393939393939,0.775,0.8181818181818182,0.7222222222222222,0.8,0.7702020202020202,1.0,32.0,early_stopping,
