experiment,kind,seed,fold,auc,acc,sen,spec,f1,balanced_acc
EXP-PROP-001,proposal,13,Set_3,0.8838383838383839,0.725,0.7727272727272727,0.6666666666666666,0.7555555555555555,0.7196969696969697
EXP-PROP-001,proposal,64,Set_0,0.8712121212121212,0.675,0.9545454545454546,0.3333333333333333,0.7636363636363637,0.6439393939393939
EXP-PROP-001,proposal,64,Set_1,0.8151041666666666,0.7,0.6875,0.7083333333333334,0.6470588235294118,0.6979166666666667
EXP-PROP-001,proposal,64,Set_2,0.955,0.875,0.9,0.85,0.8780487804878048,0.875
EXP-PROP-001,proposal,64,Set_3,0.8106060606060606,0.7,0.5909090909090909,0.8333333333333334,0.6842105263157896,0.7121212121212122
EXP-PROP-001,proposal,2026,Set_0,0.9217171717171717,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485
EXP-PROP-001,proposal,2026,Set_1,0.8098958333333333,0.725,0.625,0.7916666666666666,0.6451612903225806,0.7083333333333333
EXP-PROP-001,proposal,2026,Set_2,0.9675,0.925,0.95,0.9,0.9268292682926829,0.925
EXP-PROP-001,proposal,2026,Set_3,0.8080808080808082,0.7,0.7727272727272727,0.6111111111111112,0.7391304347826088,0.6919191919191919
EXP-PROP-002,proposal,1234,Set_0,0.9242424242424243,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-002,proposal,1234,Set_1,0.8619791666666666,0.75,0.4375,0.9583333333333334,0.5833333333333334,0.6979166666666667
EXP-PROP-002,proposal,1234,Set_2,0.885,0.825,0.75,0.9,0.8108108108108107,0.825
EXP-PROP-002,proposal,1234,Set_3,0.8434343434343434,0.7,0.6818181818181818,0.7222222222222222,0.7142857142857143,0.702020202020202
EXP-PROP-002,proposal,100,Set_0,0.9494949494949495,0.85,0.7272727272727273,1.0,0.8421052631578948,0.8636363636363636
EXP-PROP-002,proposal,100,Set_1,0.8697916666666667,0.725,0.5,0.875,0.5925925925925926,0.6875
EXP-PROP-002,proposal,100,Set_2,0.955,0.85,0.9,0.8,0.8571428571428572,0.8500000000000001
EXP-PROP-002,proposal,100,Set_3,0.8510101010101011,0.725,0.6818181818181818,0.7777777777777778,0.7317073170731707,0.7297979797979798
EXP-PROP-002,proposal,0,Set_0,0.9419191919191919,0.8,0.9090909090909091,0.6666666666666666,0.8333333333333333,0.7878787878787878
EXP-PROP-002,proposal,0,Set_1,0.7786458333333334,0.7,0.4375,0.875,0.5384615384615384,0.65625
EXP-PROP-002,proposal,0,Set_2,0.9375,0.85,0.85,0.85,0.85,0.85
EXP-PROP-002,proposal,0,Set_3,0.8611111111111112,0.775,0.6818181818181818,0.8888888888888888,0.7692307692307693,0.7853535353535352
EXP-PROP-002,proposal,2024,Set_0,0.952020202020202,0.875,0.9090909090909091,0.8333333333333334,0.888888888888889,0.8712121212121212
EXP-PROP-002,proposal,2024,Set_1,0.8828125,0.775,0.6875,0.8333333333333334,0.7096774193548386,0.7604166666666667
EXP-PROP-002,proposal,2024,Set_2,0.925,0.8,0.6,1.0,0.7499999999999999,0.8
EXP-PROP-002,proposal,2024,Set_3,0.8308080808080808,0.725,0.6363636363636364,0.8333333333333334,0.717948717948718,0.7348484848484849
EXP-PROP-002,proposal,42,Set_0,0.9520202020202021,0.85,0.8636363636363636,0.8333333333333334,0.8636363636363636,0.8484848484848485
EXP-PROP-002,proposal,42,Set_1,0.8151041666666665,0.725,0.5625,0.8333333333333334,0.6206896551724138,0.6979166666666667
EXP-PROP-002,proposal,42,Set_2,0.9125,0.85,0.85,0.85,0.85,0.85
EXP-PROP-002,proposal,42,Set_3,0.8686868686868688,0.725,0.8636363636363636,0.5555555555555556,0.7755102040816326,0.7095959595959596
