,mean,std
mlp_deepset_0,0.005989583333333215,0.011112806402787424
mlp_deepset_1,-0.008854166666666718,0.005609546674098435
mlp_deepset_2,0.001822916666666452,0.005828913876458183
mlp_deepset_3,0.007291666666666696,0.01151736686848748
mlp_deepset_4,-0.015104166666666696,0.020131404260507996
mlp_deepset_5,-0.006250000000000089,0.010686606525355826
mlp_deepset_6,-0.00390625,0.005615588190845803
mlp_deepset_7,0.002083333333333215,0.010850347216666495
mlp_deepset_8,-0.00755208333333357,0.010765638858642908
mlp_deepset_9,0.023697916666666652,0.018903093170791155
mlp_deepset_10,0.008333333333333304,0.01710840386005919
mlp_deepset_11,-0.0028645833333333925,0.012728488968593686
mlp_deepset_12,-0.0013020833333333703,0.004547981561607549
mlp_deepset_13,-0.005468750000000133,0.005518130234483623
mlp_deepset_14,0.031770833333333304,0.012747123177625426
mlp_deepset_15,-0.005468750000000133,0.010182924372925584
mlp_deepset_16,-0.008333333333333526,0.004166666666666647
mlp_deepset_17,0.01692708333333326,0.015505182965212725
mlp_deepset_18,0.013281250000000022,0.010445922458401868
mlp_deepset_19,0.006510416666666519,0.008418348893356584
mlp_deepset_20,0.0033854166666664742,0.004518060305442064
mlp_deepset_21,0.004947916666666496,0.00963541666666667
mlp_deepset_22,0.005208333333333259,0.012270019780614313
mlp_deepset_23,-0.007812500000000111,0.009243874661093172
mlp_deepset_24,-0.012500000000000178,0.018987214722456448
mlp_deepset_25,0.007812499999999889,0.008068715304598767
mlp_deepset_26,-0.0005208333333333037,0.00761913481162906
mlp_deepset_27,-0.009114583333333481,0.01635657161191894
mlp_deepset_28,0.008593749999999845,0.00939306708170387
mlp_deepset_29,-0.003645833333333348,0.010558924444121494
mlp_deepset_30,0.010937499999999822,0.006968275083468558
mlp_deepset_31,0.012239583333333304,0.008719098459782915
mlp_deepset_32,-0.0026041666666667407,0.007725206757391295
mlp_deepset_33,0.0049479166666666075,0.01974535425757016
mlp_deepset_34,0.00390625,0.0069145406496623615
mlp_deepset_35,-0.0015625000000001332,0.004067838372868074
mlp_deepset_36,0.00807291666666643,0.015816963165687724
mlp_deepset_37,0.0023437499999998668,0.007851465329000681
mlp_deepset_38,0.03281250000000002,0.01793664099762766
mlp_deepset_39,0.06380208333333326,0.0425404793439437
mlp_deepset_40,0.07395833333333324,0.015720196117486006
mlp_deepset_41,0.043489583333333304,0.025383612813765624
mlp_deepset_42,0.03541666666666665,0.012554136242910382
mlp_deepset_43,0.0023437499999998668,0.0027188298200287887
mlp_deepset_44,0.036197916666666496,0.03687356547350915
